"skater1","skater2","skater1_assists","skater2_assists","total_assists_either"
"John Klingberg","Joe Pavelski",19,30,49
"Tyler Seguin","Joe Pavelski",18,30,48
"Jason Robertson","Joe Pavelski",17,30,47
"Roope Hintz","Joe Pavelski",14,30,44
"Ryan Suter","Joe Pavelski",14,30,44
"Miro Heiskanen","Joe Pavelski",14,30,44
"Jamie Benn","Joe Pavelski",10,30,40
"Esa Lindell","Joe Pavelski",10,30,40
"Alexander Radulov","Joe Pavelski",9,30,39
"Tyler Seguin","John Klingberg",18,19,37
"Radek Faksa","Joe Pavelski",6,30,36
"Denis Gurianov","Joe Pavelski",6,30,36
"Jason Robertson","John Klingberg",17,19,36
"Jason Robertson","Tyler Seguin",17,18,35
"Joe Pavelski","Jani Hakanpaa",30,4,34
"Joe Pavelski","Michael Raffl",30,4,34
"Roope Hintz","John Klingberg",14,19,33
"Ryan Suter","John Klingberg",14,19,33
"Miro Heiskanen","John Klingberg",14,19,33
"Luke Glendening","Joe Pavelski",3,30,33
"Roope Hintz","Tyler Seguin",14,18,32
"Ryan Suter","Tyler Seguin",14,18,32
"Miro Heiskanen","Tyler Seguin",14,18,32
"Andrej Sekera","Joe Pavelski",2,30,32
"Tanner Kero","Joe Pavelski",2,30,32
"Joe Pavelski","Jacob Peterson",30,2,32
"Roope Hintz","Jason Robertson",14,17,31
"Ryan Suter","Jason Robertson",14,17,31
"Joel Hanley","Joe Pavelski",1,30,31
"Thomas Harley","Joe Pavelski",1,30,31
"Jason Robertson","Miro Heiskanen",17,14,31
"Joe Pavelski","Fredrik Karlstrom",30,1,31
"Joe Pavelski","Marian Studenic",30,1,31
"Joe Pavelski","Joel Kiviranta",30,1,31
"Joe Pavelski","Vladislav Namestnikov",30,1,31
"Joe Pavelski","Blake Comeau",30,0,30
"Joe Pavelski","Riley Tufte",30,0,30
"Joe Pavelski","Ty Dellandrea",30,0,30
"Jamie Benn","John Klingberg",10,19,29
"Esa Lindell","John Klingberg",10,19,29
"Roope Hintz","Ryan Suter",14,14,28
"Roope Hintz","Miro Heiskanen",14,14,28
"Ryan Suter","Miro Heiskanen",14,14,28
"Jamie Benn","Tyler Seguin",10,18,28
"Esa Lindell","Tyler Seguin",10,18,28
"John Klingberg","Alexander Radulov",19,9,28
"Jamie Benn","Jason Robertson",10,17,27
"Esa Lindell","Jason Robertson",10,17,27
"Tyler Seguin","Alexander Radulov",18,9,27
"Jason Robertson","Alexander Radulov",17,9,26
"Radek Faksa","John Klingberg",6,19,25
"Denis Gurianov","John Klingberg",6,19,25
"Roope Hintz","Jamie Benn",14,10,24
"Roope Hintz","Esa Lindell",14,10,24
"Ryan Suter","Jamie Benn",14,10,24
"Ryan Suter","Esa Lindell",14,10,24
"Jamie Benn","Miro Heiskanen",10,14,24
"Esa Lindell","Miro Heiskanen",10,14,24
"Radek Faksa","Tyler Seguin",6,18,24
"Denis Gurianov","Tyler Seguin",6,18,24
"Roope Hintz","Alexander Radulov",14,9,23
"Ryan Suter","Alexander Radulov",14,9,23
"Radek Faksa","Jason Robertson",6,17,23
"Denis Gurianov","Jason Robertson",6,17,23
"Miro Heiskanen","Alexander Radulov",14,9,23
"John Klingberg","Jani Hakanpaa",19,4,23
"John Klingberg","Michael Raffl",19,4,23
"Tyler Seguin","Jani Hakanpaa",18,4,22
"Tyler Seguin","Michael Raffl",18,4,22
"Luke Glendening","John Klingberg",3,19,22
"Jason Robertson","Jani Hakanpaa",17,4,21
"Jason Robertson","Michael Raffl",17,4,21
"Andrej Sekera","John Klingberg",2,19,21
"Tyler Seguin","Luke Glendening",18,3,21
"Tanner Kero","John Klingberg",2,19,21
"John Klingberg","Jacob Peterson",19,2,21
"Roope Hintz","Radek Faksa",14,6,20
"Roope Hintz","Denis Gurianov",14,6,20
"Ryan Suter","Radek Faksa",14,6,20
"Ryan Suter","Denis Gurianov",14,6,20
"Jamie Benn","Esa Lindell",10,10,20
"Joel Hanley","John Klingberg",1,19,20
"Thomas Harley","John Klingberg",1,19,20
"Radek Faksa","Miro Heiskanen",6,14,20
"Denis Gurianov","Miro Heiskanen",6,14,20
"Jason Robertson","Luke Glendening",17,3,20
"Andrej Sekera","Tyler Seguin",2,18,20
"Tyler Seguin","Tanner Kero",18,2,20
"Tyler Seguin","Jacob Peterson",18,2,20
"John Klingberg","Fredrik Karlstrom",19,1,20
"John Klingberg","Marian Studenic",19,1,20
"John Klingberg","Joel Kiviranta",19,1,20
"John Klingberg","Vladislav Namestnikov",19,1,20
"Jamie Benn","Alexander Radulov",10,9,19
"Esa Lindell","Alexander Radulov",10,9,19
"Joel Hanley","Tyler Seguin",1,18,19
"Thomas Harley","Tyler Seguin",1,18,19
"Jason Robertson","Andrej Sekera",17,2,19
"Jason Robertson","Tanner Kero",17,2,19
"Jason Robertson","Jacob Peterson",17,2,19
"Tyler Seguin","Fredrik Karlstrom",18,1,19
"Tyler Seguin","Marian Studenic",18,1,19
"Tyler Seguin","Joel Kiviranta",18,1,19
"Tyler Seguin","Vladislav Namestnikov",18,1,19
"John Klingberg","Blake Comeau",19,0,19
"John Klingberg","Riley Tufte",19,0,19
"John Klingberg","Ty Dellandrea",19,0,19
"Roope Hintz","Jani Hakanpaa",14,4,18
"Roope Hintz","Michael Raffl",14,4,18
"Ryan Suter","Jani Hakanpaa",14,4,18
"Ryan Suter","Michael Raffl",14,4,18
"Joel Hanley","Jason Robertson",1,17,18
"Thomas Harley","Jason Robertson",1,17,18
"Jason Robertson","Fredrik Karlstrom",17,1,18
"Jason Robertson","Marian Studenic",17,1,18
"Jason Robertson","Joel Kiviranta",17,1,18
"Jason Robertson","Vladislav Namestnikov",17,1,18
"Miro Heiskanen","Jani Hakanpaa",14,4,18
"Miro Heiskanen","Michael Raffl",14,4,18
"Tyler Seguin","Blake Comeau",18,0,18
"Tyler Seguin","Riley Tufte",18,0,18
"Tyler Seguin","Ty Dellandrea",18,0,18
"Roope Hintz","Luke Glendening",14,3,17
"Ryan Suter","Luke Glendening",14,3,17
"Jason Robertson","Blake Comeau",17,0,17
"Jason Robertson","Riley Tufte",17,0,17
"Jason Robertson","Ty Dellandrea",17,0,17
"Miro Heiskanen","Luke Glendening",14,3,17
"Roope Hintz","Andrej Sekera",14,2,16
"Roope Hintz","Tanner Kero",14,2,16
"Roope Hintz","Jacob Peterson",14,2,16
"Ryan Suter","Andrej Sekera",14,2,16
"Ryan Suter","Tanner Kero",14,2,16
"Ryan Suter","Jacob Peterson",14,2,16
"Jamie Benn","Radek Faksa",10,6,16
"Jamie Benn","Denis Gurianov",10,6,16
"Esa Lindell","Radek Faksa",10,6,16
"Esa Lindell","Denis Gurianov",10,6,16
"Miro Heiskanen","Andrej Sekera",14,2,16
"Miro Heiskanen","Tanner Kero",14,2,16
"Miro Heiskanen","Jacob Peterson",14,2,16
"Roope Hintz","Joel Hanley",14,1,15
"Roope Hintz","Thomas Harley",14,1,15
"Roope Hintz","Fredrik Karlstrom",14,1,15
"Roope Hintz","Marian Studenic",14,1,15
"Roope Hintz","Joel Kiviranta",14,1,15
"Roope Hintz","Vladislav Namestnikov",14,1,15
"Ryan Suter","Joel Hanley",14,1,15
"Ryan Suter","Thomas Harley",14,1,15
"Ryan Suter","Fredrik Karlstrom",14,1,15
"Ryan Suter","Marian Studenic",14,1,15
"Ryan Suter","Joel Kiviranta",14,1,15
"Ryan Suter","Vladislav Namestnikov",14,1,15
"Joel Hanley","Miro Heiskanen",1,14,15
"Thomas Harley","Miro Heiskanen",1,14,15
