pair,Player1,Player2,ice_time,goals_for,goals_against,shots_for,goals_for_per_60,goals_against_per_60,shots_for_per_60,lambda_for,lambda_against,prob_goal_for_1200,prob_goal_against_1200,PlayerA,PlayerB
Alexander Radulov & Esa Lindell,Alexander Radulov,Esa Lindell,16751,2,8,159,0.4298250850695481,1.7193003402781923,34.171094263029076,0.143275028356516,0.573100113426064,0.13348428027369041,0.4362250395632302,Alexander Radulov,Esa Lindell
Alexander Radulov & Jamie Benn,Alexander Radulov,Jamie Benn,21778,8,20,218,1.3224354853521902,3.306088713380476,36.03636697584719,0.4408118284507301,1.1020295711268253,0.35648621383314893,0.6678038167314679,Alexander Radulov,Jamie Benn
Alexander Radulov & Miro Heiskanen,Alexander Radulov,Miro Heiskanen,18199,2,12,191,0.3956261333040277,2.373756799824166,37.78229573053464,0.13187537776800923,0.7912522666080554,0.12354978654445736,0.5467231836952381,Alexander Radulov,Miro Heiskanen
Alexander Radulov & Tyler Seguin,Alexander Radulov,Tyler Seguin,14622,3,15,131,0.7386130488305294,3.693065244152647,32.252769798933116,0.24620434961017645,1.2310217480508823,0.21823754425143405,0.7080059191704169,Alexander Radulov,Tyler Seguin
Esa Lindell & Jamie Benn,Esa Lindell,Jamie Benn,29112,8,24,230,0.9892827699917559,2.967848309975268,28.441879637262982,0.32976092333058526,0.989282769991756,0.28090436812868735,0.6281567074289025,Esa Lindell,Jamie Benn
Esa Lindell & Miro Heiskanen,Esa Lindell,Miro Heiskanen,29283,1,21,242,0.1229382235426698,2.581702694396066,29.751050097326093,0.0409794078475566,0.8605675647986886,0.040151104900934764,0.5770780214406485,Esa Lindell,Miro Heiskanen
Esa Lindell & Tyler Seguin,Esa Lindell,Tyler Seguin,27622,8,22,217,1.0426471653030194,2.867279704583303,28.281804358844397,0.3475490551010064,0.9557599015277677,0.293582640295346,0.6154801637067582,Esa Lindell,Tyler Seguin
Jamie Benn & Miro Heiskanen,Jamie Benn,Miro Heiskanen,37306,12,28,386,1.1579906717418111,2.7019782340642253,37.24869994102825,0.3859968905806037,0.9006594113547417,0.3202273606247352,0.5936983485359656,Jamie Benn,Miro Heiskanen
Jamie Benn & Tyler Seguin,Jamie Benn,Tyler Seguin,47804,24,38,488,1.8073801355535102,2.8616852146263914,36.75006275625471,0.6024600451845034,0.9538950715421304,0.45253680603421975,0.614762430568826,Jamie Benn,Tyler Seguin
Miro Heiskanen & Tyler Seguin,Miro Heiskanen,Tyler Seguin,36469,11,25,381,1.0858537387918505,2.467849406345115,37.610024952699554,0.36195124626395014,0.822616468781705,0.3036836849639316,0.5607192149049853,Miro Heiskanen,Tyler Seguin
Jacob Peterson & Joe Pavelski,Jacob Peterson,Joe Pavelski,5232,3,2,57,2.064220183486239,1.3761467889908257,39.22018348623853,0.6880733944954129,0.4587155963302752,0.4974566602429875,0.367905010527103,Jacob Peterson,Joe Pavelski
Jacob Peterson & John Klingberg,Jacob Peterson,John Klingberg,13940,5,9,120,1.291248206599713,2.3242467718794835,30.989956958393112,0.430416068866571,0.7747489239598278,0.3497615055603388,0.5391805327975994,Jacob Peterson,John Klingberg
Jacob Peterson & Roope Hintz,Jacob Peterson,Roope Hintz,5557,3,2,59,1.9434946913802413,1.2956631275868273,38.22206226381141,0.6478315637934138,0.4318877091956091,0.47682097202773766,0.35071771897855986,Jacob Peterson,Roope Hintz
Jacob Peterson & Ryan Suter,Jacob Peterson,Ryan Suter,17133,5,11,138,1.0506040973559798,2.3113290141831553,28.99667308702504,0.35020136578532657,0.7704430047277184,0.29545379606593236,0.5371920032398421,Jacob Peterson,Ryan Suter
Joe Pavelski & John Klingberg,Joe Pavelski,John Klingberg,43296,21,42,529,1.7461197339246122,3.4922394678492243,43.98558758314856,0.582039911308204,1.164079822616408,0.4412426123004971,0.6877901816912275,Joe Pavelski,John Klingberg
Joe Pavelski & Roope Hintz,Joe Pavelski,Roope Hintz,71473,59,52,808,2.9717515705231348,2.619170875715305,40.69788591496089,0.9905838568410449,0.8730569585717683,0.6286401932501362,0.5823272127249672,Joe Pavelski,Roope Hintz
Joe Pavelski & Ryan Suter,Joe Pavelski,Ryan Suter,38170,10,24,375,0.9431490699502227,2.2635577678805343,35.36809012313335,0.3143830233167409,0.7545192559601781,0.2697607240824472,0.5297633761458606,Joe Pavelski,Ryan Suter
John Klingberg & Roope Hintz,John Klingberg,Roope Hintz,39163,19,39,471,1.74654648520287,3.5850164696269435,43.29596813318694,0.5821821617342899,1.1950054898756477,0.44132209012396495,0.6972977076203621,John Klingberg,Roope Hintz
John Klingberg & Ryan Suter,John Klingberg,Ryan Suter,28229,2,29,229,0.2550568564242446,3.6983244181515462,29.204010060576003,0.08501895214141486,1.2327748060505153,0.08150512320829162,0.7085173533118254,John Klingberg,Ryan Suter
Roope Hintz & Ryan Suter,Roope Hintz,Ryan Suter,35757,14,18,364,1.409514220991694,1.8122325698464639,36.64736974578404,0.46983807366389796,0.6040775232821546,0.37489651919567546,0.45342159999939735,Roope Hintz,Ryan Suter
Jacob Peterson & Radek Faksa,Jacob Peterson,Radek Faksa,6375,1,2,28,0.5647058823529412,1.1294117647058823,15.811764705882352,0.18823529411764706,0.3764705882352941,0.17158023799809463,0.31372069792470647,Jacob Peterson,Radek Faksa
Joe Pavelski & Radek Faksa,Joe Pavelski,Radek Faksa,8935,1,5,61,0.4029099048684947,2.0145495243424736,24.577504196978175,0.13430330162283155,0.6715165081141579,0.12567515975904953,0.48906684430819625,Joe Pavelski,Radek Faksa
John Klingberg & Radek Faksa,John Klingberg,Radek Faksa,20298,1,22,116,0.17735737511084837,3.901862252438664,20.57345551285841,0.05911912503694945,1.300620750812888,0.05740552413300459,0.727637328801362,John Klingberg,Radek Faksa
Radek Faksa & Ryan Suter,Radek Faksa,Ryan Suter,28053,5,22,164,0.6416426050689766,2.823227462303497,21.04587744626243,0.21388086835632553,0.9410758207678322,0.19255542850788054,0.6097921842058553,Radek Faksa,Ryan Suter
